Unnamed: 0,winery,country,points,description,designation
1455,Kunde,US,90,"From older vines on the producer's estate, this wine has a depth of richness to the nose and is intensely powerful in gingerbread and Meyer lemon on the medium-bodied palate. Lemony acidity rounds out the finish, flecked in butter.",Reserve
1456,La Voix,US,90,"There is much buzz about this new Steve and Chrystal Clifton (of Palmina and Brewer-Clifton) project that finds inspiration for wine from music. This orange-mauve-pink rosé is redolent with the familiar Pinot components of cherry, sagebrush and clove. On the palate, iron, graphite and wild herbs spice up the pomegranate fruit. It's very varietally pure.",She's Crafty Rosé of
1457,Martin Ray,US,90,"This is a brawny, strongly powerful wine, fully displaying the grip of mountain fruit. Blackberry and black currant complement the tobacco and cedar. Drink now through 2023.",
1458,Martin Ray,US,90,"This 100% varietal wine offers plenty of crisp cranberry, currant and restrained red fruit on the palate, the texture soft and supple. A pleasing shock of dark chocolate appears on the finish.",Simpson Ridge
1459,Oakville East,US,90,"Leather and peppercorn jump from the glass in this soft, strong wine, powerful in tannin and dusty earth. A gravelly, rocky component plays on the palate around waves of chocolate and black currant, finishing in herb.",Franc 'n Stern
1460,Quivira,US,90,"A blend of 60% Montepulciano and 40% Sangiovese, this is a grippy, leathery wine, the fruit sourced from two different sites in the appellation. Black leather, baked and dried plum, and cherry combine on the palate with breadth and length, finishing as if dusted in cocoa.",Montepulciano-Sangiovese
1461,Castello della Paneretta,Italy,90,"Red berry, chopped herb, blue flower and menthol all come together on this elegantly structured red. The juicy, accessible palate offers ripe black cherry, crushed raspberry, licorice and a hint of vanilla alongside round tannins. Drink through 2021.",Riserva
1462,Edetària,Spain,90,"Smoky, oaky, rubbery aromas are sophisticated and inviting. This blend of 90% Garnacha and 10% Carignan feels smooth, but with a healthy pulse. Plum and cherry flavors carry a note of oaky char, while a long, toasty finish offers a complex note of cured meat. Drink through 2020.",Selecció
1463,Frog's Leap,US,90,"From the heart of the Rutherford Bench, this estate-grown wine is a classic version of restraint and elegance, structured in dusty tannin with bursts of cedar, tomato leaf and cassis. Cabernet Franc makes up 8% of the blend, with 3% Merlot. This will benefit from time in the cellar; drink 2020–2023.",Estate Grown
1464,Hirsch,US,90,"Complex and well balanced, this wine shows enticing aromas of fruits, spices and subtle herbs followed by tangy, dry, and slightly lean flavors like cranberry and rhubarb. It will be great with a roast fowl of some kind and should mellow more with time. Best after 2018.",Estate Reserve
1465,Keenan,US,90,"Decadent and candied, this is an oaky, well-made wine with richness at its core. Tahitian vanilla, caramel and Meyer lemon give way to more weighty tropical characteristics, making for a ripe, bigger-styled wine.",
1466,Lavau,France,90,"This mid-sized négociant has turned out a solid Tavel. It's classic red-berry hue is typical for the appellation, followed by ample weight on the palate and bold cherry-berry flavors—all wrapped up by a long, mouthwatering finish.",
1467,Marianello,US,90,"This ambitious blend of 60% Sangiovese, 15% Merlot, 15% Petite Sirah and 10% Cabernet Sauvignon largely succeeds, with aromas of tight blueberries, concentrated purple flowers and a touch of crushed peppercorn. The fruit-driven palate is dense with blueberry, tart boysenberry and a dusting of cocoa.",Cielo Rubio
1468,Michael David,US,90,"This wine is a big one, going all out to make friends. New-oak aromas like clove, cedar and cinnamon explode out of the glass, then flavors of dark chocolate and cherry spread across the palate for a generous—almost thick—impression. Fine layers of tannins and firm acidity blanket the texture.",6th Sense
1469,Oremus,Hungary,90,"This late harvest wine reminds one of lemon grass, cut grass and honeysuckle. It is sweet with a good acid balance along with flavors of lemon meringue pie and lemon curd.",Late Harvest
1470,Argyle,US,90,"Clean, crisp and bright, this was fermented in stainless (with just 10% in neutral wood), and not put through malolactic. The blend is 60/40 Chardonnay/Pinot Noir, yielding fresh fruit flavors of apple and melon that are focused and precise. A streak of ginger runs through racy acidity.",Vintage Brut
1471,Argyle,US,90,"Firm and focused, this lightly spiced effort supports its tart cherry fruit with ample acidity. Hints of toasted coconut build in the finish. A few more years of bottle age should bring further integration.",Nuthouse Lone Star Vineyard
1472,Big Table Farm,US,90,"A striking shade of amber/orange, this soft and fruity wine is open and loose knit, with broad flavors of mature, slightly oxidized tree fruits, plus lightly spicy notes of cinnamon and baking spices. It's very well made, but well apart from any standard approach.",Wirtz Vineyard
1473,Bischöfliche Weingüter Trier,Germany,90,"A delicate streak of honeycomb gilds layers of yellow peaches, apples and tangerines in this off-dry Riesling. Its concentrated fruitiness is lip smacking, but it's also quite elegant, reverberating long on a steely strike of acidity and minerality. Drink now through 2020.",Piesporter Goldtröpfchen Kabinett
1474,Cantina del Nebbiolo,Italy,90,"Mature black fruit, toast and spice aromas lead the nose. The firm palate is still tightly wound, offering baked black cherry, licorice and espresso balanced by youthfully assertive, taut tannins. Drink after 2019.",del Comune di Serralunga d'Alba
1475,Cantina del Pino,Italy,90,"Crushed rose, pressed violet, perfumed berry, sage and a balsamic note are just some of the aromas you'll find on this full-bodied red. The firm palate offers dried black cherry, black pepper and licorice alongside tightly knit tannins and the subtle warmth of alcohol. Give it a few more years to come together. Drink 2018–2016.",
1476,Carmel,Israel,90,"A nose of wild blackberry and brambles lays the groundwork for a tender dance of fruit and herbal flavors, especially blackberry, pomegranate, eucalyptus and fennel bulb. Mouth-coating tannins dissipate on the finish, joined by a burst of tart pomegranate.",Kayoumi Single Vineyard
1477,Ricominciare,Argentina,90,"This is an unusual, exotic take on Malbec. The bouquet delivers cardamom, sandalwood and spiced black currant aromas. In the mouth, it's grabby with pinching tannins. Blueberry and cardamom flavors end ripe, with decent follow through. Drink now.",Altísimo
1478,Antiquum Farm,US,90,"This falls sbetween a rosé and an orange wine in its appearance, a pale salmon/copper shade that results from 36 hours of skin contact before pressing. Scents of hibiscus tea and rosewater put a delicate top note ahead of rich, ripe, round and spicy citrus fruit. A strong impression of cinnamon marks the finish.",Aurosa
1479,Beni di Batasiolo,Italy,90,"Red rose, wild berry, toast, tobacco and a whiff of underbrush meld in the glass. On the firm palate, notes of clove, ground pepper, cinnamon, anise and mocha accent the red berry core. Firm, fine-grained tannins offer structure.",
1480,Bodega Catena Zapata,Argentina,90,"Ripe borderline raisiny aromas include earth, cedar and graphite scents. This is concentrated, grabby and fully extracted. Flavors of jammy black fruits blend with spicy saucy notes prior to a finish with flavors of tomato, herbs, salt and gamy meat. Firm acidity guarantees this will last at least another five years before falling off.",Catena
1481,Brandini,Italy,90,"Aromas of perfumed berry, mint baking spice, toast and espresso waft out of the glass. The palate is tight and rather primary at the moment, showing raw black cherry, raspberry, clove and toasted notes. It's still young but balanced, with fresh acidity and firm, fine–grained tannins. Drink 2016–2022.",Brandini
1482,Carol Shelton,US,90,"A field blend of 85% Zinfandel, 11% Alicante Bouschet and 4% Petite Sirah, this juicy, spicy wine is robust and full bodied. Blackberry syrup and black cherry combine around cinnamon and black pepper, finishing in a wave of power.",Bastoni Vineyard Karma
1483,Cascina delle Rose,Italy,90,"Fresh and refined, this delightful, easy-drinking wine opens with scents of rose, woodland berry and a whiff of dark cooking spice. The vibrant, savory palate offers juicy red cherry, raspberry and white pepper alongside bright acidity and polished tannins. Drink through 2018.",
1484,Château Bélingard,France,90,"Monbazillac, with its impressive castle, is part of the Bergerac region that makes some beautiful dessert wines. This wine, with its refreshing balance between acidity and rich honeyed flavors, conveys Seville orange marmalade and lemon acidity, with a smooth, botrytis aftertaste. Drink now, or better age until 2017.",Blanche de Bosredon
1485,Château de la Ragotiere,France,90,"Named after the winemaker, Amélie Couillard, this soft, rounded wine is smooth with creamed apple flavors while also having a proper tangy of acidity. That tight and tangy edge makes the wine refreshing now while also allowing it to age for a few more months. Drink now or from late 2016.",Cuvée Amélie Sur Lie
1486,Château Eugénie,France,90,"This wine is very structured and firm. With some barrel aging, the tannins have been smoothed out although the wine remains with a dry core and fresh acidity. Black-currant flavors dominate, giving a wine that is bright and fruity at the end.",Cuvée Tsar Pierre le Grand
1487,Château Laulerie,France,90,"An impressive blend of Merlot and Malbec, this is a solid, dark wine packed with both tannins and ripe berry fruits. It has a serious character with toast, acidity and complex spice flavors. Drink from 2018.",Comtesse de Ségur
1488,Château Peyros,France,90,"This ripe wine with open fruits has 40% Cabernet Franc in the blend, which lends an attractive perfumed character and gives the wine rich character and fruitiness. It will age for a few more years and be ready to drink from 2017.",
1489,Clos La Chance,US,90,"Roast beef, grape candy, cracked blueberry, beef char and grapy freshness come to the nose on this bottling. The candied grape and blueberry elements carry dark-fruit character to the palate, along with licorice that gives depth. Roasting herbs in the midpalate adds savory flair.",Lila's Cuvee
1490,David Hill,US,90,"At David Hill, the Winemakers Cuvée is a cut above the reserve. It's a muscular blend of scents and flavors of lavender, cherry and chocolate wrapped into a firm, focused finish.",Winemakers Cuvée
1491,Deltetto,Italy,90,"Wild berry, grilled herb, aniseed and a hint of vanilla are some of the aromas you'll find on this attractive red. The linear, elegantly structured palate offers ripe black cherry, raspberry, licorice and grilled sage while a tobacco note closes the firm finish.",Braja Riserva
1492,Dry Creek Vineyard,US,90,"Waxy apple stars in this brisk, approachable white from a single estate-farmed block, the oak briny and salty in toast and honey. Textured and elegantly light bodied, it finishes with a satisfying note of lemon candy.",DCV Estate Block 10
1493,Franz Keller,Germany,90,Pristine white peaches seem suspended in a crystalline solution of river rocks and mineral water in this refreshing dry Pinot Blanc. It's delicate in stature but abounds in elegance. Drink now through 2020.,Schwarzer Adler
1494,Gianpiero Marrone,Italy,90,"Raspberry, rose petal, baking spice, tilled soil and new leather aromas unfold on this structured red. The chewy, full-bodied palate doles out juicy wild cherry, menthol and dark cooking spice while assertive tannins and fresh acidity lend balance. Drink 2019–2029.",Pichemej
1495,Laurel Glen,US,90,"A blend of 85% Cabernet Sauvignon with 15% Merlot, this was built to be approachable young. Grapes are sourced from an estate, organically farmed vineyard as well as two neighboring properties, Pickberry and Murray Ranch. Tobacco forms around a juiciness of blackberry and raspberry, giving it a sultry edge, while maintaing soft tannins throughout.",Counterpoint
1496,Luna Beberide,Spain,90,"Smooth, deep aromas of licorice and blackberry are composed. This Mencía feels full and lusty, with grip but nothing too hard or edgy. Earthy black fruit flavors are savory, toasty and meaty, while the finish is woody and plump. Drink through 2020.",Art
1497,Magnum Vinhos,Portugal,90,"Despite its richness, this is a stylish wine that exudes freshness as much as dense fruit and structure. A blend of Touriga Nacional, Syrah and Cabernet Sauvignon, all structured varieties, it still yields a generous full-bodied and rounded wine. It does need to age, so drink from 2018.",Maria Mora Enamorada
1498,Mathew Bruno,US,90,"Sourced from the southeastern section of the Rutherford appellation and 100% varietal, this is a seamlessly made wine, luxurious in cherry pie and leather saddle. Tangy acidity meets the dusty tannins head-on, finishing with a burst of orange zest.",
1499,Merryvale,US,90,"While barrel-influenced and full-bodied, this unctuous wine remains crisp in edgy acidity, with lean flavors of lemon and grapefruit amidst a deeper, richer background of oak and caramel.",
1500,Brander,US,93,"Freshly cut quince, guava, lemongrass and key lime aromas combine with a stony quality on the nose of this vibrant, zesty wine. Its acidity is almost effervescent, infusing the palate with boundless energy, while its chalky grip carries sharp green apple notes alongside warmer touches of pineapple and guava. Those vivid flavors linger for a full minute.",au Naturel
1501,Margerum,US,93,"Bright raspberry, cherry and rose petal aromas meet cola spice on the pretty, delicate nose of this bottling—a solid example of the surge in quality of Central Coast Grenache. There is a tense tannic structure to the palate despite its light nature, with great acidity presenting tangy red and purple fruit flavors, with more rose petal accents.",
1502,Ponzi,US,93,"This stellar reserve remains one of the finest Chardonnays from Oregon. Meyer lemon, peanut oil, salted nuts, citrus and tangerine combine in a deep and intense palate. Whole-cluster pressed and barrel fermented (but in just 10% new French oak), this delicious, dense and penetrating wine should be consumed now through the early 2020s.",Reserve
1503,Palliser Estate,New Zealand,92,"The most recent of Palliser's Great Dog releases, the 2014 Ted is a full-bodied, muscular wine. Cola, cinnamon and thyme notes mark the nose, while the flavors feature dark cherries and plums, drawing to a lingering close with echoes of mocha and Mexican chocolate. Drink 2020–2028.",The Great Ted
1504,Château de Gayon,France,92,"This is a golden, mature and sweet wine that comes from the white wine appellation of the Madiran region. It balances ripe apricot and honey with intense acidity to create a beautiful wine. The zesty marmalade and final crispness are delicious. Drink now.",Gouttes de Soleil
1505,Château Saint-Maur,France,92,"An attractive silver-pink colored wine, this is beautifully ripe and fruity. It has a great balance between acidity and raspberry fruit. There is a herbal edge that gives the wine a fine tangy character. Drink this wine from the end of 2017.",L'Excellence
1506,Château Vannières,France,92,"This wood-aged wine is a fascinating example of how rosé can age. It is certainly mature and has lost its crisp fruitiness. But it has gained toast, a smooth rich texture and plenty of spice. It's obviously a food wine, ready to drink now.",La Patience de Vannières
1507,Domaine Capmartin,France,92,"Dense tannins and powerful black fruits reinforce the almost-black color of the wine. It is a strong wine, powered by dark plums, rich tannins and very fine acidity. Produced from organic grapes, it is an impressive wine for long-term aging. Drink from 2020.",Cuvée du Couvent
1508,Domaine Serene,US,92,"Wreaths of smoke surround pretty raspberry aromatics. The red and plummy purple-fruit flavors continue, along with some tannic muscle and grip. This is a mix of 667 and Pommard clones—still young and a bit tight.",Côte Sud Vineyard
1509,Domaine Serene,US,92,"This was the first winery to make a truly white Pinot Noir (back in 2004). Produced exclusively from Pommard clones, it's barrel fermented and aged much like a Chardonnay. Along with great texture and length, there's plenty of acid supporting its palate-pleasing mix of white peach, melon and gooseberry. It finishes with a thread of lightly buttery caramel.",Coeur Blanc (White Heart)
1510,Écluse,US,92,"Like many of the winery's bottlings, this wine shows rich but balanced concentration. Loamy and fulfilling baked blueberry and blackberry aromas are laced with vanilla. The palate is lavish as well, with strong blueberry syrup, herb and pepper flavors and a caramel touch on the finish.",Lock Vineyard
1511,Josef Bauer,Austria,92,"Ivy leaf and ripe, green pear notes make up this wine's enticing nose. The palate brims with juicy pear and citrus, feeling concentrated, lively and moreish. Dry and streamlined with citrus, it also layers pear and peach fruit before finishing with lip-smacking citrus zest.",Ried Spiegel
1512,Joyce,US,92,"Dark cherry and cola aromas meld with composting rose scents on the nose of this pleasing wine that will satisfy any lover of Pinot Noir. The palate exudes nutmeg, iron and rose flavors galore, adding spice to its core of plump raspberry and ripe cranberry fruit. Lively acidity and tannic depth complete the experience.",Ventana Vineyard
1513,Jurtschitsch,Austria,92,"A hearty swirl in the glass wakes up this wine's aroma, showing lemon balm, cress and green pear. Those fresh flavors also play on the lithe palate, where yeasty savoriness is enhanced by lemony spritz. It's totally zippy and refreshing, with far more concentration than is at first apparent, proving it needs time to breathe.",Stein
1514,King Estate,US,92,"This is the reserve-level Pinot Gris, comprised of lots from five different vineyards. Juicy, succulent and quite tart fruit flavors emphasize fresh apples and pears, lightly dusted with cinnamon spice. The concentration and lingering finish prove it worthy of its reserve status.",Backbone
1515,Anaba,US,92,"This new offering, made by Ross Cobb and Katy Wilson, is intended as a “best of the west.” Sourced from several vineyards, it reveals true coastal qualities, with ethereal earthiness and an Old World sensibility. Cloudy in the glass, it shows cranberry, orange, bay leaf and tea flavors as it unwinds.",Westlands
1516,Babcock,US,92,"Bryan Babcock makes plenty of more expensive Pinot Noirs, but this appellation blend hits all the right notes and shows off the results of the “pedestular cane suspension” technique he's been using in the vineyard. Wild thyme, sagebrush and bay leaf meet cranberry and slate aromas on the nose. Black raspberry and cranberry flavors lead the earthy palate, accented with nettle and peppercorn.",
1517,Barton,US,92,"This 25% whole cluster bottling from the Full Draw Vineyard shows black cherry, leather, cola and sarsaparilla scents on the nose. Cherry cola and vanilla flavors mark the palate, where medium acidity and persistent tannins ensure solid cellaring potential. Drink 2018–2025.",E Street
1518,Bergström,US,92,"In French, the vineyard name means “the meadow on the mountain,” a fitting name for the site. This is a spicy wine, with a touch of red-hot candy. The pretty cherry fruit is underscored with earth and mineral, and the astringent, tea-flavored tannins morph into a suggestion of cola at the tail end.",Le Pré du Col Vineyard
1519,Bernard Magrez,France,92,"Almost white in color, this is a rich wine with intense red-currant and raspberry fruits. It is a dry wine, destined to partner food, with fine acidity as well as a herbal edge. It is a concentrated wine, ready to drink from the end of 2017.",Excellence des Muraires
1520,Château Bellevue la Forêt,France,92,"The top wine from this estate is impressive. It has rich black fruits and firm tannins, showing its youthfulness. Its weight and concentration combine with the ripe fruits to give a wine that is destined for long-term aging. Négrette, Syrah and Cabernet Sauvignon go into this fine blend. Drink it from 2020.",Optimum
1521,Matthiasson,US,92,"Crisp, refreshing and uniquely spicy and mineral-driven, this blends 50% Sauvignon blanc, 25% Ribolla Gialla, 20% Sémillon and 5% Tocai Friulano—all unusual varieties in the Napa Valley. Light, bright and fleshy, it tastes of lemon, mango and the sea.",
1522,Mumm Napa,US,92,"This blends 52% Chardonnay and 48% Pinot Noir in a seamless, focused package of bright acidity, moderate mousse and tangled peach, tangerine and blood orange flavors. It has impressive complexity and length, with a nutty note that closes out the finish.",DVX Sparkling Rosé
1523,Pianetta,US,92,"This is a hearty version of a grape frequently made in a simpler, fresh style, showing roasted red berry, charcoal and mocha aromas on the nose. A deep cassis flavor permeates the palate, with beef char and black pepper accents that make for a compelling, rather lavish sip.",
1524,Pianetta,US,92,"This attention-grabber hits the palate with reckless abandon. Stewed black plum and sugar plum aromas meet vanilla and strawberry pie scents on the lush nose. It's plush with creamy coffee, milk chocolate, blackberry and black cherry flavors, framed by soft tannins and a fine streak of acidity. Rather delicious.",
1525,Ponzi,US,92,"Though labeled Willamette Valley, this is single vineyard Chehalem Mountains AVA fruit. Smooth, ripe and buttery, from sniff to swallow, it's loaded with Satsuma orange, Meyer lemon and pink-grapefruit flavors. The acids snap and the finish lingers, with a streak of vanilla and a slight sensation of heat.",Avellana Vineyard
1526,Quady North,US,92,"This is a very limited bottling of 80% Cabernet Franc and 20% Merlot. Roughly half spent time in new French oak, which brings a lovely toasty note into the foreground. There's a slight, not unpleasant funkiness, along with dusty baking spices, black cherry and currant, and a chunk of dark chocolate. It's big, bold and delicious, and drinking quite well at the moment.",Arsenal
1527,Qupé,US,92,"This bottling from Syrah legend Bob Lindquist, sourced from the biodynamic vineyard that he planted, delivers snappy boysenberry, white pepper, rosemary and lavender aromas. The palate judiciously balances savory, peppery spice and lush purple floral notes with tangy black plum fruit and rosehip accents, making for a wondrous sip.",Sawyer-Lindquist Vineyard
1528,Renwood,US,92,"Loads of ripe blackberry and boysenberry aromas lead to a plush, not quite soft mouthfeel laced with berry, cherry, clove and cinnamon flavors. It's a very generous, mouth-filling wine that will bring a lot of enjoyment.",Jack Rabbit Flat Vineyard
1529,Sbragia,US,92,"Juicy blackberry and clove scents ride a full-bodied wave of flavor and leathery texture in this impressive wine. It shows both the brightness and the density of the appellation in a strong, warm vintage.",Gino's
1530,Casa Santa Vitória,Portugal,85,"Made to be drunk young, this wine gives a burst of ripe red fruit. The tannins are soft and open, balanced with acidity. The aftertaste is smooth and generous. Drink now.",Versátil Tinto
1531,Adega Cooperativa de Borba,Portugal,85,"Named for the Servite convent in the town of Borba, this fresh, crisp and tangy wine is citric, with almond and apple overtones. It's young, fruity and made for immediate consumption.",Convento da Vila Branco
1532,Alves de Sousa,Portugal,85,"A typical Douro blend of Touriga Nacional, Tinta Roriz and Tinta Barroca, this wine is all about bright, crisp fruit. Black and red currant flavors come with tight acidity and a juicy character. Tightly wound now, it needs a few more months to calm down. Drink from 2018.",Caldas
1533,Amatore,Italy,85,"A blend of Chardonnay, Garganega and Sauvignon, this has aromas of peach and golden apple. The simple palate offers pineapple and banana alongside bright acidity. Enjoy soon.",Bianco
1534,Paradiso di Frassina,Italy,85,"This opens with subdued aromas of espresso, grilled herb, scorched underbrush and French oak. The lean evolved palate shows roasted coffee bean, a hint of oak-driven spice and a salty note but the fruit has already dried up, leaving an abrupt, astringent finish.",Flauto Magico Riserva
1535,Martinez & Martinez,US,85,"The aromas of vanilla, herb and cherry show some volatility. The cherry flavors are light, finishing tart.",Cesar
1536,Solo Contigo,Argentina,85,Gritty aromas suggest burnt popcorn and match stick. This is a round oily style of Torrontés with briny tropical fruit flavors. A salty note of persimmon carries an O.K. finish.,Premium Series
1537,Vino San Esteban,France,85,"A French version of a brand that is more familiar in Chile as Viña San Esteban, this wine has more stylistically to do with South America than southwest France. It is soft, juicy, rounded and with attractive ripe tannins. The wine is ready to drink.",Réserve
1538,Altos Las Hormigas,Argentina,84,"Aromas of roasted but slightly weedy berry fruits, road tar and latex precede a raw shallow pulling palate. This Malbec tastes of salty and savory black plums, tomatoes and herbs. On the finish, this delivers mostly spaghetti-sauce flavors.",Clásico
1539,Dona Maria-Júlio Bastos,Portugal,84,"A light wine with attractive berry flavors, this has a touch of caramel to go with its fruitiness and crisp acidity. Drink now.",
1540,Quinta da Alorna,Portugal,84,"If you like your Sauvignon Blanc herbal, then this is the wine for you. It's very fruity and New World in style, has tight acidity and is ready to drink.",
1541,Napa by N.A.P.A.,US,84,"Composed of 62% Sauvignon Blanc and 38% Sémillon, Bianca's White is minimally oaked and somewhat extreme in its acidity, with an intensity of tart flavor.",Bianca's White
1542,Adega Cooperativa de Borba,Portugal,84,"This pleasant, fruity wine has lemon-lime crispness. Hints of apricot flavor prove the Alvarinho grape is far from its northern Portuguese homeland. Drink now.",Senses
1543,Wines & Winemakers,Portugal,84,This blend of Arinto and Fernão Pires is soft and bland. Its light fruit and acidity feel open and ripe.,Azul Portugal
1544,Louis Bernard,France,84,"This wine is floral and spicy on the nose, but lacks the richness on the midpalate to fully support those ambitions. The result is a highly perfumed but modestly flavored wine with medium body and a dusty finish. Drink now.",Château Noël Saint Laurent
1545,Casarena,Argentina,84,"Floral berry and plum aromas are also saucy and oaky, and thus discordant. A wobbly tannic palate with green herbal oaky blueberry flavors tastes grassy on the finish. If you know Casarena's wines, this fits the mold.",505 Esencia
1546,Bodegas Aragonesas,Spain,84,"Off the bat, this smells a bit like fruit punch, although with time it stiffens. A chunky heavy somewhat flat palate tastes of clove, chocolate and berry and plum.",Don Ramón
1547,Acacia,US,84,"Reduced and dominated by tannin and oak, this large production offering is earthy and spicy, with full-bodied texture and weight. It finishes slightly green.",
1548,Adega Cooperativa do Cartaxo,Portugal,84,"This soft, yeasty and sweet blend of Fernão Pires and Bical is fruity with apple and pear flavors. It has just enough acidity to keep it crisp on the finish and makes an easy apéritif.",Plexus Branco
1549,Las Positas,US,84,"This dry, tart wine smells like sliced apples and has lemon pastry-like flavors without the sweetness. The palate is full-bodied but cut with a zing of lemon and green apple.",Verdigris
1550,Domaine de Grange Neuve,France,84,The wine is soft and fruity with hints of honey as well as mango and peach flavors. It is lightly perfumed leaving room for a crisp aftertaste. Drink now.,La Fleur Lily Semi-Sweet
1551,EOS,US,84,"Vague apple, pear and lime pith aromas show on the subdued nose of this bottling. The palate is pleasant, with dried apple, lime peel and grass flavors, but it's somewhat lacking in energy.",
1552,Gen Del Alma,Argentina,84,Low-intensity apple and pear aromas lead to a tight high-acid mouth. Severe flavors of lemon and lime are fairly sour. A long direct finish is linear and shearing.,Ji Ji Ji Finca Villa Seca Gen Fuerza Tranquila
1553,Sand Point,US,84,Jammy aromas and equally ripe sweet fruit flavors give this wine a candied character. It's full-bodied and feels a little warm on the finish.,
1554,Waterkloof,South Africa,84,"Soft notes of straw and honeycomb grace the orange and red apple fruit tones. The mouthfeel is round and a touch flat on the midpalate, finishing with a bitter almond flavor. Drink now.",Seriously Cool
1555,Antucura,Argentina,84,"Jammy jumbled foxy aromas set up a blocky flat palate. Greasy flavors of buttered-up berry fruits finish without much verve. This is good enough, but just barely.",
1556,Fat Barrel,South Africa,84,"A lightweight and easygoing white, this offers soft aromas and flavors of green apple, melon rind and citrus, all framed by bright acidity. The finish is short, but mouthwatering. Drink now.",Bob's
1557,Casa de la Ermita,Spain,84,"Aromas of buttered noodles and honey fail to hold up in the glass. This sweet Macabeo feels a bit watery, with no complexity to the palate structure. Flavors of honey and vanilla are slightly bitter.",Dulce Blanco
1558,Caves Campelo,Portugal,84,"This medium-sweet rosé is a familiar style of local Portuguese wine. Fruity with raspberry flavor, it gives a slight a prickle on the tongue and has lively acidity. Drink now.",Campelo
1559,Caves Campelo,Portugal,84,"Soft, light and fruity, this wine is ready for a warm day. Apple flavors and clean acidity balance its soft sweetness, making it ready to drink now. Intriguingly, its label resembles that of a much more familiar brand of Vinho Verde.",Casal da Seara
1560,Ampelos,US,92,"A pure 100% Syrah that's got an elegant sense of restraint. Bright and compelling, the fruit surrounds classically delicious layers of black pepper and charcuterie, soft tannins and a vibrant personality that calls out for pairing with cured meats and sophisticated cheeses.",Gamma: The Complex
1561,Array,US,92,"Sourced entirely from the Otis Harlan Vineyard, these vines were planted about 25 years ago. It's a pleasure to see them singled out for this showcase bottling. It's a rich, oily, nutty, buttery style to be sure, but also dense with ripe apple, pear and peach fruit. The acidity buoys it up throughout a strong, long finish.",Dijon Clone
1562,Daou,US,92,"The Daou brothers' considerable and continual investments is evidence that their wines will matter for years, ensuring a wise investment today. This 70% Cabernet Franc and 30% Merlot offers aromas of blueberry and cedar. Once sipped, the tannins grab with strength before dissipating smoothly. It's a seamless combo of spice, fruit, wood and herbs, but will evolve through at least 2025.",Seventeen Forty Reserve
1563,Côtes de Ciel,US,92,"Though the alcohol is on the high side, this vineyard ripens the fruit well enough to sustain varietal character without the veil of heavy new oak. Here it's 50% neutral, 50% new, yielding rich strawberry andcherry flavors with a stiff, mineral streak.",Ciel du Cheval Vineyard
1564,Herdade do Rocim,Portugal,92,"This estate wine is seriously structured, with tones of dried herbs alongside richer elements of dense tannins and ripe black fruits. A bright acid backbone maintains a fresh and lively character. It might be best to lay down this selection for further integration.",
1565,Kerloo,US,92,"This is an aromatic wine containing 8% Viognier, with perfumed notes of flowers and orange peel along with wet gravel, plum and smoked meat. The blue fruit flavors are intense and pure, backed by a squeeze of chalky tannins. Best after 2016.",Upland Vineyards
1566,Mercy,US,92,"The grape's stereotypical green nose gets a whole new interpretation, with aromas of sunburned hay, bags of desiccated grass and wild oregano. The herbaceous characters carry the palate, but it's smooth with thyme and chile verde flavors, and a lingering bit of citrus tartness and tannic grip.",Zabala Vineyard
1567,Quinta de Lemos,Portugal,92,"The rich, fruity core of this 100% Alfrocheiro wine is given polish and weight from time spend in a barrel. The fruit at the heart is dense, showing hints of dark chocolate and spice flavors, supported by structured tannins. This wine is ready to be consumed now.",
1568,Summerwood,US,92,"A smoky oak fire meets cooked meats and plum sauce on the nose of this wine, which retains great balance even at 16% alcohol. The mouthfeel is luxurious, complementing the cherry, red currant, licorice and black pepper flavors, wrapped around orange peel bitterness and well-integrated oak.",
1569,Woodward Canyon,US,92,"Plush and dusty, this splendid Merlot offers unusual depth and texture, even for Washington versions of the much-maligned grape. Along with black cherry fruit come highlights of herb and olive, spicy oak and rich earth. The density and detail carry through a long finish.",
1570,Zaca Mesa,US,92,"In 1978, Zaca Mesa became the first winery to plant Syrah in Santa Barbara County, and Winemaker Eric Mohseni keeps pushing the quality. This offers notes of blueberry cobbler, rocks and fresh-turned soil, followed by blue fruit flavors, dark chocolate, leather and slight asphalt.",Mesa Reserve Estate Grown and Bottled
1571,Domaine Jean Sipp,France,91,"The wine is intense, full in the mouth and rich. The warm, concentrated character brings out both ripe fruits and minerality. The result is a textured wine, tangy and citrus-driven, that also has broad yellow fruits along with the final acidity. Drink from 2016.",Vieilles Vignes
1572,Domaine Ostertag,France,91,"Impressively concentrated for a Pinot Blanc, it offers intense spice as well as crisp apple flavors. It's bright, with good acidity as well as a rich and rounded aftertaste.",
1573,Domaines Schlumberger,France,91,"Not overly sweet, this offers a spicy character on top of a touch of honey and fresh lemon flavors. It's surprisingly and attractively delicate for a Gewurztraminer, and ready to drink now.",Kessler Grand Cru
1574,Errazuriz,Chile,91,"Berry aromas are a touch dusty and floral on the nose, with hints of earth and cedar. On the palate, this wine is bright and balanced, with fresh acidity. Rich berry, cassis and spice flavors finish agile and long. Drink through 2016.",Max Reserva
